subject	predicate	object
mostly	Synonym	for_the_most_part
mostly	Synonym	more_often_than_not
fecal	Synonym	faecal
cftr	Synonym	cystic_fibrosis_transport_regulator
raptor	Synonym	bird_of_prey
raptor	IsA	a_bird_of_prey
hair	CapableOf	fall_out
hair	PartOf	your_head
hair	UsedFor	warmth
hair	UsedFor	combing
osteoporosis	IsA	pathology
bacteremia	IsA	pathology
bacteremia	HasContext	microorganism
complicate	MannerOf	change
epidemic	SimilarTo	pestilential
epidemic	SimilarTo	epizootic
destination	Synonym	address
port	IsA	geographic_point
port	IsA	port
port	Synonym	interface
throughput	IsA	output
throughput	HasContext	computer
ibuprofen	IsA	painkiller
ibuprofen	IsA	medicine
centre	RelatedTo	middle
centre	Synonym	center
centre	Synonym	center
centre	Synonym	kernel
anopheles	IsA	arthropod_genus
anopheles	Synonym	Anopheles
phagocytosis	IsA	bodily_process
disrepair	IsA	unsoundness
join	RelatedTo	together
join	RelatedTo	connect
join	Synonym	connect
prime	Synonym	meridian
prime	HasContext	mathematics
prime	IsA	prime
prime	IsA	adulthood
prim	Synonym	prim
prim	MannerOf	dress
prim	Synonym	straight-laced
prim	Synonym	prim
supportive	SimilarTo	appurtenant
supportive	SimilarTo	accessary
supportive	SimilarTo	certificatory
supportive	RelatedTo	positive
france	IsA	country
france	PartOf	Europe
france	IsA	a_country_in_europe
france	PartOf	France
immunogenicity	IsA	immunity
address	RelatedTo	location
address	RelatedTo	street
address	RelatedTo	number
address	RelatedTo	house
ards	Synonym	adult_respiratory_distress_syndrome
distress	IsA	adversity
depolarization	IsA	change
opposite	Synonym	face_to_face
truncated	SimilarTo	short
truncated	Synonym	abbreviated
reset	MannerOf	set
reset	PartOf	reset
reset	MannerOf	specify
behavioural	Synonym	behavioral
notable	Synonym	luminary
notable	Synonym	noteworthy
notable	Synonym	far-famed
noncommunicable	Synonym	nontransmissible
baby	CapableOf	wet_his_diaper
baby	CapableOf	wet_his/her_diapers
baby	RelatedTo	child
baby	CapableOf	cry_loudly
obstetric	Synonym	obstetric
china	IsA	country
china	RelatedTo	country
field	RelatedTo	area
field	RelatedTo	baseball
field	RelatedTo	grass
field	RelatedTo	grassy
validation	IsA	determination
validation	Synonym	establishment
cure	Synonym	bring_around
dimer	IsA	compound
aromatic	HasContext	chemistry
aromatic	Synonym	redolent
eviction	Synonym	eviction
eviction	IsA	compulsion
reexamine	Synonym	review
hypothesize	Synonym	speculate
manual	SimilarTo	blue-collar
manual	SimilarTo	hand-operated
manual	IsA	manual
revise	Synonym	retool
institute	Synonym	establish
institute	MannerOf	make
flexible	SimilarTo	limber
flexible	SimilarTo	spinnable
flexible	SimilarTo	bendable
rigid	SimilarTo	rigid
rigid	SimilarTo	semirigid
rigid	Synonym	strict
bovine	SimilarTo	dull
compete	HasSubevent	you_win
compete	HasPrerequisite	train
compete	HasPrerequisite	practice_a_skill
compete	HasPrerequisite	enter_the_competition
lin	Synonym	Maya_Lin
lavage	IsA	lavage
lavage	IsA	irrigation
lavage	DefinedAs	irrigation_of_an_organ
choose	RelatedTo	pick
choose	RelatedTo	select
choose	RelatedTo	decision
choose	RelatedTo	choice
connect	RelatedTo	join
connect	RelatedTo	together
concert	IsA	concert
oligonucleotide	HasContext	biochemistry
oligonucleotide	IsA	nucleotide
elevation	Synonym	acme
elevation	IsA	distance
ignition	IsA	fire
ignition	PartOf	ignition
ignition	Synonym	ignition
interrelated	SimilarTo	reticulate
parenchyma	IsA	plant_tissue
parenchyma	IsA	animal_tissue
enormous	Synonym	tremendous
others	ReceivesAction	annoyed_by_hearing_people_snore
immunization	IsA	protection
regime	Synonym	regimen
regime	Synonym	government
reinforcement	Synonym	reward
reinforcement	Synonym	reinforcing_stimulus
reinforcement	IsA	confirmation
reinforcement	Synonym	support
receiver	IsA	receiver
operating	Synonym	in_operation
curve	IsA	pitch
curve	Synonym	arch
alleviated	SimilarTo	mitigated
swiss	Synonym	Swiss_people
gee	MannerOf	turn
gee	Synonym	g
gee	MannerOf	exclaim
underestimate	MannerOf	misjudge
transitory	Synonym	short-lived
airborne	SimilarTo	mobile
persistence	Synonym	doggedness
persistence	Synonym	continuity
persistence	Synonym	perseverance
intact	Synonym	inviolate
intact	Synonym	entire
intact	SimilarTo	whole
speed	IsA	pace
operation	RelatedTo	procedure
operation	RelatedTo	surgery
operation	RelatedTo	game
operation	RelatedTo	hospital
favorable	Synonym	advantageous
favorable	Synonym	favourable
favorable	RelatedTo	affirmative
primed	SimilarTo	ready
ref	Synonym	referee
dci	IsA	administrator
sister	RelatedTo	sibling
sister	RelatedTo	girl
sister	RelatedTo	female
sister	RelatedTo	brother
wild	SimilarTo	undomesticated
domestication	Synonym	tameness
domestication	IsA	adaptation
segmental	HasContext	linguistics
segmental	SimilarTo	divided
segmental	Synonym	metameric
ventricle	Synonym	ventricle
ventricle	PartOf	brain
ventricle	IsA	ventricle
ventricle	IsA	ventricle
statistic	IsA	a_number
statistic	IsA	datum
statistic	IsA	statistic
equally	Synonym	every_bit
county	PartOf	county
flux	IsA	flux
flux	IsA	change
flux	Synonym	blend
flux	IsA	flux
retrotransposons	IsA	'professional_insertion_machines'
prerequisite	IsA	duty
