subject	predicate	object
flies	IsA	insects
flies	CapableOf	fly
flies	IsA	space
flies	HasContext	dramaturgy
methionine	IsA	essential_amino_acid
transduction	IsA	natural_process
transduction	IsA	organic_process
transduction	HasContext	genetics
destabilization	HasContext	ship
destabilization	IsA	change
destabilization	IsA	action
destabilization	HasContext	government
sensitized	Synonym	hypersensitised
strength	Synonym	lastingness
strength	Synonym	intensity
decoding	IsA	cryptography
van	IsA	camper
van	IsA	van
van	IsA	car
gogh	Synonym	van_Gogh
humerus	PartOf	arm
humerus	IsA	arm_bone
polymorphism	IsA	chemical_phenomenon
polymorphism	HasContext	biology
polymorphism	HasContext	chemistry
polymorphism	HasContext	genetics
waiting	HasSubevent	read
waiting	Synonym	ready_and_waiting
waiting	Synonym	wait
paired	Synonym	opposite
paired	SimilarTo	matched
paired	SimilarTo	mated
donation	Synonym	contribution
donation	Synonym	contribution
minus	SimilarTo	negative
minus	Synonym	subtraction
minus	Synonym	negative
characteristic	SimilarTo	distinctive
source	MannerOf	source
policy	IsA	policy
policy	IsA	policy
policy	IsA	policy
primate	Synonym	archpriest
primate	IsA	an_animal
primate	IsA	placental
links	Synonym	golf_links
dramatic	SimilarTo	dramatic
dramatic	HasContext	music
dramatic	SimilarTo	spectacular
dramatic	SimilarTo	melodramatic
varying	SimilarTo	varied
clostridium	IsA	eubacteria
speaker	CapableOf	field_questions
speaker	CapableOf	field_a_question
allergen	IsA	substance
degraded	Synonym	degenerate
degraded	SimilarTo	low
familial	Synonym	transmitted
causative	SimilarTo	anorexigenic
causative	SimilarTo	abortifacient
causative	SimilarTo	contributing
causative	SimilarTo	errhine
amyloidosis	IsA	illness
utility	Synonym	utility
utility	IsA	service
discontinuation	Synonym	discontinuance
methadone	Synonym	methadone
methadone	IsA	narcotic
country	RelatedTo	nation
country	RelatedTo	land
vaccines	UsedFor	prevent_disease
vaccines	CapableOf	control_diseases
regardless	SimilarTo	heedless
regardless	Synonym	disregardless
fall	RelatedTo	season
fall	RelatedTo	autumn
fall	HasPrerequisite	trip
fall	HasPrerequisite	lose_your_balance
isolation	IsA	separation
south	Synonym	in_the_south
south	SimilarTo	southernmost
south	Synonym	south
south	Synonym	south
sensing	IsA	sensory_activity
logistic	Synonym	logistic
exon	IsA	deoxyribonucleic_acid
experiment	RelatedTo	test
experiment	RelatedTo	lab
experiment	RelatedTo	science
experiment	RelatedTo	scientific
juice	IsA	current
juice	IsA	juice
juice	IsA	juice
asymmetric	Synonym	asymmetrical
resting	HasSubevent	sleep
resting	UsedFor	regaining_your_energy
resting	UsedFor	relaxing
resting	Causes	relaxation
engage	MannerOf	touch
identifier	IsA	symbol
accuracy	HasContext	mathematics
episodic	SimilarTo	impermanent
episodic	Synonym	occasional
episodic	SimilarTo	divided
quickly	Synonym	cursorily
discovered	Synonym	ascertained
androgenetic	Synonym	androgenous
fashion	RelatedTo	style
fashion	RelatedTo	clothing
fashion	RelatedTo	clothes
fashion	IsA	vogue
difficult	RelatedTo	hard
difficult	DistinctFrom	easy
difficult	SimilarTo	rocky
difficult	SimilarTo	serious
deadly	Synonym	lethal
deadly	Synonym	venomous
deadly	HasContext	theology
deadly	Synonym	deathly
solution	IsA	solution
kingdom	ReceivesAction	ruled_by_a_king
kingdom	HasA	many_people
public	DistinctFrom	private
public	SimilarTo	in_the_public_eye
public	SimilarTo	common
african	IsA	African
browning	Synonym	John_Moses_Browning
browning	Synonym	toasting
browning	Synonym	Robert_Browning
browning	Synonym	Elizabeth_Barrett_Browning
guide	IsA	leader
fully	Synonym	amply
recruits	CapableOf	train_in_the_military
homology	IsA	similarity
meningitis	IsA	meningitis
meningitis	IsA	meningitis
meningitis	IsA	infectious_disease
meningitis	IsA	meningitis
widespread	SimilarTo	general
widespread	SimilarTo	distributed
indeed	Synonym	so
elusive	Synonym	problematical
elusive	SimilarTo	unidentifiable
elusive	Synonym	subtle
impair	MannerOf	damage
confirmed	SimilarTo	unchangeable
confirmed	SimilarTo	official
cooperate	Synonym	collaborate
cars	CapableOf	go_fast
cars	ReceivesAction	driven
cars	HasA	windows
cars	CapableOf	slow_down
highlighting	Synonym	highlight
circuit	IsA	circuit
circuit	Synonym	circuit
circuit	IsA	circuit
circuit	Synonym	tour
granulocyte	IsA	leukocyte
depend	RelatedTo	rely
depend	MannerOf	be
depend	Synonym	trust
reporter	CapableOf	report_news
reporter	IsA	reporter
bidirectional	SimilarTo	two-way
bidirectional	SimilarTo	bifacial
bidirectional	SimilarTo	duplex
coupling	IsA	mechanical_device
content	RelatedTo	happy
progress	RelatedTo	forward
progress	Synonym	progress
functionality	IsA	practicality
trap	MannerOf	hold
perpetuate	MannerOf	continue
kinetochore	Synonym	centromere
metaphase	IsA	phase_of_cell_division
metaphase	PartOf	mitosis
metaphase	PartOf	meiosis
interest	RelatedTo	money
interest	RelatedTo	bank
interest	MannerOf	arouse
interest	Synonym	interest
value	RelatedTo	worth
value	RelatedTo	price
value	RelatedTo	cost
value	IsA	value
resource	IsA	asset
resource	IsA	resource
resource	IsA	inventiveness
policies	IsA	plural_for_policy
policies	IsA	often_in_writing
map	UsedFor	finding_an_address
map	UsedFor	finding_the_way
map	MannerOf	picture
spots	Synonym	musca_volitans
depleted	SimilarTo	insufficient
blunted	SimilarTo	dull
conclude	MannerOf	end
deregulation	IsA	liberation
tonsillectomy	IsA	ablation
joining	IsA	change_of_integrity
tolerant	Synonym	resistant
tolerant	RelatedTo	patient
tolerant	SimilarTo	unbigoted
migrate	MannerOf	migrate
migrate	MannerOf	move
migrate	MannerOf	migrate
dying	Causes	something_to_change_color
dying	HasSubevent	fear
dying	UsedFor	the_end_of_life
dying	Causes	a_change_of_color
dysplasia	IsA	abnormality
dysplasia	IsA	dysplasia
born	RelatedTo	birth
born	HasFirstSubevent	cry
born	Synonym	Max_Born
viremia	IsA	pathology
neurotransmitter	IsA	neurochemical
glucagon	IsA	hormone
menarche	IsA	start
parkinson	Synonym	James_Parkinson
parkinson	Synonym	Cyril_Northcote_Parkinson
pd	Synonym	palladium
challenging	SimilarTo	difficult
challenging	Synonym	thought-provoking
beyond	RelatedTo	past
diameter	IsA	straight_line
mild	RelatedTo	moderate
mild	SimilarTo	mild-mannered
mild	Synonym	balmy
studied	RelatedTo	affected
brains	CapableOf	think_about_many_things
limit	RelatedTo	speed
limit	RelatedTo	maximum
limit	RelatedTo	boundary
fatal	SimilarTo	lethal
strengthening	IsA	transformation
scapula	PartOf	shoulder
western	SimilarTo	southwestern
western	SimilarTo	occidental
western	IsA	sandwich
lymphocyte	PartOf	lymphatic_system
lymphocyte	IsA	leukocyte
modified	SimilarTo	restricted
modified	RelatedTo	varied
modified	SimilarTo	qualified
modified	SimilarTo	adapted
adaptation	IsA	adaptation
feature	IsA	feature
feature	IsA	article
supported	SimilarTo	gimbaled
supported	SimilarTo	supernatant
supported	SimilarTo	underslung
supported	SimilarTo	subsidised
mutagenesis	IsA	mutagenesis
mutagenesis	PartOf	mutation
mutagenesis	IsA	cause
mycobacterium	Synonym	mycobacteria
recombinant	IsA	cell
recombinant	IsA	organism
starvation	Causes	death
chains	Synonym	iron
chains	CapableOf	move_wheels
em	IsA	linear_unit
em	Synonym	em
em	IsA	area_unit
em	PartOf	inch
transmitted	SimilarTo	inheritable
comparable	SimilarTo	comparable_to
kb	Synonym	kilobyte
kb	PartOf	MB
kb	Synonym	kilobit
kb	IsA	computer_memory_unit
integration	IsA	mathematical_process
integration	IsA	group_action
vessel	RelatedTo	ship
vessel	RelatedTo	boat
vessel	RelatedTo	container
homelessness	IsA	a_social_and_economic_problem
homelessness	IsA	condition
subgroup	IsA	group
subgroup	HasContext	mathematics
return	RelatedTo	back
return	RelatedTo	come_back
return	RelatedTo	come
return	IsA	motion
interferon	IsA	interferon
interferon	IsA	interferon
interferon	IsA	interferon
interferon	IsA	antiviral
orientation	IsA	self-awareness
orientation	IsA	orientation
timely	Synonym	well_timed
timely	SimilarTo	punctual
timely	Synonym	seasonably
must	RelatedTo	have
must	RelatedTo	have_to
must	Synonym	mustiness
must	SimilarTo	essential
impose	Synonym	inflict
impose	Synonym	enforce
impose	Synonym	levy
magnitude	IsA	magnitude
mosquitoes	CapableOf	fly
mosquitoes	CapableOf	spread_disease
mosquitoes	CapableOf	fly_away
